experiment_id,status,track,branch,recipe,config_overrides,representation_pretrain_epochs,artifact_dir,mean_target_baseline_rmse,val_rmse,val_rmse_improvement_vs_mean_baseline,val_rmse_improvement_pct_vs_mean_baseline,ttnc_proxy_retrieval_hit_rate_at_5,cluster_silhouette,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,notes
H0_vicreg_baseline,completed,hparam,current,vicreg_baseline,,20,real_sweep_20260323_full_eval,3674.9361,3134.3132,540.6229,14.7117,0.6391,0.4273,2095.07,45.21,3185.72,"Stage-1 recipe baseline; val_rmse from tb_logs/stage1/version_5"
H0_sigreg_core,completed,hparam,current,sigreg_core,,20,real_sweep_20260323_full_eval,3674.9361,3131.8938,543.0423,14.7776,0.6464,0.4532,2059.70,44.45,3143.30,"Current non-dense SIGReg baseline; val_rmse from tb_logs/stage1/version_6"
H0_sigreg_dense,completed,hparam,current,sigreg_dense,,20,real_sweep_20260323_full_eval,3674.9361,3104.0486,570.8875,15.5346,0.6452,0.4550,2066.35,44.59,3139.13,"Current dense SIGReg baseline; val_rmse from tb_logs/stage1/version_7"
H1_dense_weight_0p10,rejected,hparam,current,sigreg_dense,observed_claim_loss_weight=0.1,20,experiments/runs/H1_dense_weight_0p10,3674.9361,3116.4172,558.5188,15.1981,0.7795,0.2320,2895.03,50.49,4343.04,"Slice eval improved probe RMSE but lost retrieval and underperformed the 0.25 dense control on val_rmse"
H1_dense_weight_0p25,completed,hparam,current,sigreg_dense,observed_claim_loss_weight=0.25,20,experiments/runs/H1_dense_weight_0p25,3674.9361,3104.0486,570.8875,15.5346,0.7870,0.2327,2857.66,49.84,4391.61,"Control re-evaluated on the current 2k-sample downstream slice using the existing H0 dense checkpoint"
H1_dense_weight_0p50,completed,hparam,current,sigreg_dense,observed_claim_loss_weight=0.5,20,experiments/runs/H1_dense_weight_0p50,3674.9361,3107.2341,567.7019,15.4479,0.7725,0.2380,2778.53,48.46,4183.79,"Best slice-level dollar metrics in H1, but full eval stayed mixed versus control: retrieval 0.6429 vs 0.6452 and silhouette 0.4421 vs 0.4550"
H1_dense_weight_0p35,rejected,hparam,current,sigreg_dense,observed_claim_loss_weight=0.35,20,experiments/runs/H1_dense_weight_0p35,3674.9361,3125.7505,549.1855,14.9441,0.7800,0.2396,2958.71,51.60,4436.18,"Adaptive midpoint run; worse val_rmse and worse dollar metrics than both 0.25 control and 0.5"
H2_observed_k1,rejected,hparam,current,sigreg_dense,observed_claim_k=1,20,experiments/runs/H2_observed_k1,3674.9361,3140.2991,534.6369,14.5481,0.7830,0.2231,2870.46,50.06,4358.80,"Shorter dense horizon did not recover retrieval enough to offset weaker val_rmse and silhouette versus the k=2 control"
H2_observed_k2,completed,hparam,current,sigreg_dense,observed_claim_k=2,20,experiments/runs/H2_observed_k2,3674.9361,3104.0486,570.8875,15.5346,0.7870,0.2327,2857.66,49.84,4391.61,"Dense horizon control on the current 2k-sample eval slice; full-data H0 result remains the default comparison point"
H2_observed_k3,rejected,hparam,current,sigreg_dense,observed_claim_k=3,20,experiments/runs/H2_observed_k3,3674.9361,3149.3850,525.5510,14.3010,0.7930,0.2454,2903.85,50.64,4397.08,"Longer dense horizon improved slice retrieval and silhouette, but full eval stayed mixed: retrieval 0.6477 vs 0.6452 control, silhouette 0.4494 vs 0.4550, and worse dollar metrics"
